# tracer: nop
#
# entries-in-buffer/entries-written: 11582/11582   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u64:4-116348  [001] ..... 33323.705663: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705663: amdgpu_device_wreg: 0x1638, 0x00003d62, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705664: amdgpu_device_wreg: 0x1638, 0x00003d61, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705667: amdgpu_device_wreg: 0x1638, 0x00003d60, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705668: amdgpu_device_wreg: 0x1638, 0x00003d5f, 0x000000f4
   kworker/u64:4-116348  [001] ..... 33323.705669: amdgpu_device_wreg: 0x1638, 0x00003d5e, 0xb2000000
   kworker/u64:4-116348  [001] ..... 33323.705670: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705673: amdgpu_device_wreg: 0x1638, 0x00004ffa, 0x00000001
          <idle>-0       [001] d.h1. 33323.712285: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33323.712291: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33323.712309: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00070101
          <idle>-0       [001] d.h1. 33323.728955: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33323.728963: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33323.745729: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
