# tracer: nop
#
# entries-in-buffer/entries-written: 1428/1428   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u64:3-3749    [008] .....  1210.706806: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:3-3749    [008] .....  1210.706807: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706808: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706808: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:3-3749    [008] .....  1210.706809: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0xbbf00000
   kworker/u64:3-3749    [008] .....  1210.706810: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706810: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706811: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706812: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706812: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706813: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706814: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:3-3749    [008] .....  1210.706815: amdgpu_device_wreg: 0x1638, 0x00003aca, 0xbb000000
   kworker/u64:3-3749    [008] .....  1210.706816: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:3-3749    [008] .....  1210.706817: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706819: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:3-3749    [008] .....  1210.706819: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706820: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706821: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:3-3749    [008] .....  1210.706821: amdgpu_device_wreg: 0x1638, 0x00003d66, 0xbbf00000
   kworker/u64:3-3749    [008] .....  1210.706822: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706823: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706823: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706824: amdgpu_device_wreg: 0x1638, 0x00003d62, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706825: amdgpu_device_wreg: 0x1638, 0x00003d61, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706825: amdgpu_device_wreg: 0x1638, 0x00003d60, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706826: amdgpu_device_wreg: 0x1638, 0x00003d5f, 0x000000f4
   kworker/u64:3-3749    [008] .....  1210.706827: amdgpu_device_wreg: 0x1638, 0x00003d5e, 0xbb000000
   kworker/u64:3-3749    [008] .....  1210.706828: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706829: amdgpu_device_wreg: 0x1638, 0x00004ffa, 0x00000001
          <idle>-0       [001] d.h1.  1210.708507: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.708735: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1.  1210.708755: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00070101
          <idle>-0       [001] d.h1.  1210.725463: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.725470: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1.  1210.741878: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.742093: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [002] d.s3.  1210.743610: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00114101
          <idle>-0       [002] d.s3.  1210.743612: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100101
          <idle>-0       [002] d.s4.  1210.743614: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100111
          <idle>-0       [002] d.s4.  1210.743616: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100100
          <idle>-0       [002] d.s4.  1210.743618: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040101
          <idle>-0       [002] d.s4.  1210.743619: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040000
          <idle>-0       [002] d.s4.  1210.743621: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00100100
          <idle>-0       [002] d.s4.  1210.743622: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000000
   kworker/u64:3-3749    [008] d..3.  1210.772893: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104114
   kworker/u64:3-3749    [008] d..3.  1210.772897: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104101
   kworker/u64:3-3749    [008] d..3.  1210.772899: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040100
   kworker/u64:3-3749    [008] d..3.  1210.772901: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040001
